id,zip_code,country,state,city,created_at,updated_at
1,744104,India,Andaman Nicobar,Port Blair,,
2,744208,India,Andaman Nicobar,Port Blair,,
3,744107,India,Andaman Nicobar,Port Blair,,
4,744201,India,Andaman Nicobar,Port Blair,,
5,744302,India,Andaman Nicobar,Port Blair,,
6,744301,India,Andaman Nicobar,Car Nicobar,,
7,744202,India,Andaman Nicobar,Port Blair,,
8,744102,India,Andaman Nicobar,Port Blair,,
9,744211,India,Andaman Nicobar,Port Blair,,
10,744207,India,Andaman Nicobar,Port Blair,,
11,744103,India,Andaman Nicobar,Port Blair,,
12,744209,India,Andaman Nicobar,Port Blair,,
13,744304,India,Andaman Nicobar,Port Blair,,
14,744203,India,Andaman Nicobar,Port Blair,,
15,744101,India,Andaman Nicobar,Port Blair,,
16,744204,India,Andaman Nicobar,Port Blair,,
17,744101,India,Andaman Nicobar,Port Blair,,
18,744303,India,Andaman Nicobar,Port Blair,,
19,744104,India,Andaman Nicobar,Port Blair,,
20,744105,India,Andaman Nicobar,Port Blair,,
21,744210,India,Andaman Nicobar,Port Blair,,
22,744101,India,Andaman Nicobar,Port Blair,,
23,744205,India,Andaman Nicobar,Port Blair,,
24,744106,India,Andaman Nicobar,Port Blair,,
25,744206,India,Andaman Nicobar,Port Blair,,
26,524002,India,Andhra Pradesh,Nellore,,
27,508207,India,Andhra Pradesh,Nalgonda,,
28,504251,India,Andhra Pradesh,Adilabad,,
29,500463,India,Andhra Pradesh,Hyderabad,,
30,500890,India,Andhra Pradesh,Hyderabad,,
31,531001,India,Andhra Pradesh,Vishakhapatnam,,
32,500030,India,Andhra Pradesh,Hyderabad,,
33,500049,India,Andhra Pradesh,Hyderabad,,
34,509343,India,Andhra Pradesh,Mahboobnagar,,
35,522004,India,Andhra Pradesh,Guntur,,
36,515001,India,Andhra Pradesh,Anantapur,,
37,518543,India,Andhra Pradesh,Kurnool,,
38,506144,India,Andhra Pradesh,Warangal,,
39,505208,India,Andhra Pradesh,Karimnagar,,
40,522015,India,Andhra Pradesh,Guntur,,
41,522403,India,Andhra Pradesh,Guntur,,
42,500004,India,Andhra Pradesh,Hyderabad,,
43,500252,India,Andhra Pradesh,Hyderabad,,
44,509375,India,Andhra Pradesh,Lingotam,,
45,534123,India,Andhra Pradesh,Achanta,,
46,531011,India,Andhra Pradesh,Vishakhapatnam,,
47,504001,India,Andhra Pradesh,Adilabad,,
48,500463,India,Andhra Pradesh,Hyderabad,,
49,523201,India,Andhra Pradesh,Addanki,,
50,523001,India,Andhra Pradesh,Prakasam,,
51,533428,India,Andhra Pradesh,East Godavari,,
52,504001,India,Andhra Pradesh,Adilabad,,
53,504002,India,Andhra Pradesh,Adilabad,,
54,505188,India,Andhra Pradesh,Adivarampet,,
